 #generated on Thu Oct 17 11:54:37 2013 using mklcbolinput.pro 
 #NAME SN2007ca
 #AV_HOST 	0.595 +/- 0.0408
 #RV_HOST 1.7 +/- 0.290
  #AV_MW 	0.1767+/- 0.000 
#RV_MW  3.100 +/- 0.000
#DIST_MOD 34.0749969246 +/- 0.1 
 #NFILT 10
 #
#FILTER u_CSP - 8  MEASUREMENTS (MJD MAG MAGERR)
54218.16877 17.648 0.02
54224.20178 16.936 0.025
54235.15065 17.489 0.016
54239.1558 17.935 0.021
54243.188 18.423 0.023
54246.13015 18.693 0.037
54255.18582 19.667 0.097
54259.1089 19.964 0.108
#FILTER B_CSP - 12  MEASUREMENTS (MJD MAG MAGERR)
54218.16877 16.867 0.008
54224.20178 16.214 0.011
54227.21575 16.162 0.007
54229.17624 16.191 0.006
54231.22935 16.272 0.007
54232.18573 16.316 0.006
54235.15065 16.469 0.009
54239.1558 16.772 0.007
54243.188 17.174 0.008
54246.13015 17.443 0.01
54255.18582 18.34 0.022
54259.1089 18.604 0.023
#FILTER V_CSP - 12  MEASUREMENTS (MJD MAG MAGERR)
54218.16877 16.603 0.008
54224.20178 15.916 0.007
54227.21575 15.847 0.007
54229.17624 15.857 0.006
54231.22935 15.882 0.006
54232.18573 15.911 0.006
54235.15065 16.023 0.009
54239.1558 16.218 0.006
54243.188 16.45 0.006
54246.13015 16.595 0.008
54255.18582 17.09 0.008
54259.1089 17.316 0.01
#FILTER g_CSP - 12  MEASUREMENTS (MJD MAG MAGERR)
54218.16877 16.695 0.006
54224.20178 16.067 0.008
54227.21575 15.978 0.005
54229.17624 16.0 0.004
54231.22935 16.067 0.005
54232.18573 16.1 0.004
54235.15065 16.232 0.007
54239.1558 16.456 0.005
54243.188 16.751 0.005
54246.13015 16.974 0.006
54255.18582 17.754 0.011
54259.1089 18.072 0.009
#FILTER r_CSP - 12  MEASUREMENTS (MJD MAG MAGERR)
54218.16877 16.448 0.006
54224.20178 15.834 0.009
54227.21575 15.746 0.005
54229.17624 15.739 0.004
54231.22935 15.786 0.004
54232.18573 15.807 0.004
54235.15065 15.942 0.007
54239.1558 16.219 0.006
54243.188 16.462 0.005
54246.13015 16.532 0.005
54255.18582 16.681 0.006
54259.1089 16.825 0.006
#FILTER i_CSP - 12  MEASUREMENTS (MJD MAG MAGERR)
54218.16877 16.511 0.006
54224.20178 16.082 0.014
54227.21575 16.133 0.006
54229.17624 16.215 0.005
54231.22935 16.294 0.007
54232.18573 16.325 0.006
54235.15065 16.482 0.01
54239.1558 16.845 0.009
54243.188 17.047 0.007
54246.13015 17.025 0.009
54255.18582 16.808 0.008
54259.1089 16.816 0.009
#FILTER Y_CSP - 10  MEASUREMENTS (MJD MAG MAGERR)
54217.12516 16.276 0.012
54224.20178 15.845 0.009
54228.09966 16.096 0.012
54233.12597 16.573 0.026
54237.21793 16.677 0.055
54238.11506 16.84 0.019
54254.19183 16.062 0.008
54258.15698 15.843 0.016
54274.14933 16.343 0.028
54275.14477 16.396 0.023
#FILTER J_CSP - 8  MEASUREMENTS (MJD MAG MAGERR)
54217.12516 16.122 0.017
54224.20178 15.572 0.006
54228.09966 15.756 0.013
54233.12597 16.209 0.021
54237.21793 16.84 0.14
54238.11506 16.942 0.035
54254.19183 17.035 0.015
54258.15698 16.861 0.027
#FILTER H_CSP - 7  MEASUREMENTS (MJD MAG MAGERR)
54217.12516 16.066 0.023
54224.20178 15.718 0.013
54228.09966 15.946 0.037
54233.12597 15.992 0.057
54238.11506 16.173 0.035
54254.19183 15.867 0.014
54258.15698 15.86 0.028
#FILTER K_CSP - 2  MEASUREMENTS (MJD MAG MAGERR)
54224.20178 20.325 0.101
54254.19183 20.771 0.061
